Year,Region,Zone,Site,Total Fish Densit_mean,Total Fish Densit_SE,Fish Species richness_mean,Fish Species richness_SE,Fishery Target Spp_mean,Fishery Target Spp_SE,Grazers_mean,Grazers_SE,Corallivores_mean,Coraliivores_SE,Planktivores_mean,Planktivores_SE,Territorial Pomacentrids_mean,Territorial Pomacentrids_SE,Plectropomus spp_mean,Plectropomus spp_SE,SCI_mean,SCI_SE,LCC_mean,LCC_SE,LHC_mean,LHC_SE,MAC_mean,MAC_SE
2000,Palm,NTR 1987,OE6,,,,,29.3,5.1,,,,,,,,,16.7,5.3,24,1,90.4,1.6,48.8,8.1,0,0
2000,Palm,NTR 1987,OS1,,,,,20,5.3,,,,,,,,,6,1.2,9.6,0.6,41.6,5,36,2.8,16,4.2
2000,Palm,NTR 1987,OS2,,,,,24,8.4,,,,,,,,,10,2.8,8.4,1.1,48,5.4,31.2,4.6,0.8,0.8
2000,Palm,NTR 1987,OS3,,,,,34.7,8.1,,,,,,,,,11.3,2.3,9,0.9,52,5.7,20.8,2.3,0.8,0.8
2000,Palm,NTR 1987,OS4,,,,,28.7,3.1,,,,,,,,,8,2.5,4,0,31.2,2.9,21.6,3.7,12,4.9
2000,Palm,NTR 1987,OS5,,,,,69.3,9,,,,,,,,,21.3,0.8,17.6,1,62.4,3,30.4,6.5,5.6,2
2000,Palm,NTR 1987,OS6,,,,,20.7,2.9,,,,,,,,,6,1.2,3.4,0.9,62.4,7.5,10.4,3.2,10.4,3.5
2001,Palm,Fished,PE1,,,,,25.3,5.8,,,,,,,,,4.7,1.7,9.1,0.3,58.4,6.3,28,5.1,0,0
2001,Palm,Fished,PE2,,,,,10,1.5,,,,,,,,,2.7,0.7,23.4,0.7,65.6,3.2,55.2,4.3,9.6,2.7
2001,Palm,Fished,PE3,,,,,12.7,3.6,,,,,,,,,3.3,1.8,11.3,2,79.2,2.3,48,4.4,0,0
2001,Palm,Fished,PE4,,,,,8,0.8,,,,,,,,,1.3,0.8,16.9,1.4,19.2,2.7,13.6,4.8,15.2,4.1
2001,Palm,Fished,PE5,,,,,6,1.6,,,,,,,,,1.3,0.8,13.2,1.5,21.6,4.3,11.2,2.3,45.6,11.6
2001,Palm,Fished,PE6,,,,,4.7,0.8,,,,,,,,,2,0.8,12.7,0.8,28.8,4.6,17.6,6,0,0
2001,Palm,Fished,PS1,,,,,16,6.3,,,,,,,,,5.3,1.7,14.8,1.2,53.6,9.2,17.6,6.3,0,0
2001,Palm,Fished,PS2,,,,,14,5.2,,,,,,,,,3.3,2.1,10.6,0.4,68,5.7,55.2,8.6,5.6,2.4
2001,Palm,Fished,PS3,,,,,4,1.9,,,,,,,,,1.3,0.8,10.8,0.8,46.4,7.4,24,4.4,0.8,0.8
2001,Palm,Fished,PS4,,,,,10.7,1.2,,,,,,,,,4,1.6,4.4,0.8,44.8,5.6,15.2,5.6,1.6,1
2001,Palm,Fished,PS5,,,,,10,3.2,,,,,,,,,3.3,1.5,7,0.4,56,6.1,39.2,8.8,12,5.8
2001,Palm,Fished,PS6,,,,,10.7,7.4,,,,,,,,,2,2,7,0.9,49.6,6.3,21.6,5,0,0
2001,Palm,NTR 1987,OE1,,,,,35.3,3.6,,,,,,,,,14.7,4.4,13.2,0.6,79.2,5,33.6,5.7,0,0
2001,Palm,NTR 1987,OE2,,,,,19.3,4.4,,,,,,,,,7.3,2.4,12.7,1.2,71.2,2.9,16,5.7,0.8,0.8
