Family,Species,Functional Group,Functional group detail,Fishery Status
,Halichoeres melanurus,Benthic carnivore,Benthic carnivore,Non-target
,Hemigymnus fasciatus,Benthic carnivore,Benthic carnivore,Non-target
,Hemigymnus melapterus,Benthic carnivore,Benthic carnivore,Non-target
,Labrichthys unilineatus,Benthic carnivore,Benthic carnivore,Non-target
,Labroides bicolor,Benthic carnivore,Benthic carnivore,Non-target
,Labroides dimidiatus,,,Non-target
,Labropsis australis,Benthic carnivore,Benthic carnivore,Non-target
,Oxycheilinus diagramma,Benthic carnivore,Benthic carnivore,Non-target
,Psuedolabrus guentheri,Benthic carnivore,Benthic carnivore,Non-target
,Stethojulis bandanensis,Benthic carnivore,Benthic carnivore,Non-target
,Stethojulis strigiventer,Benthic carnivore,Benthic carnivore,Non-target
,Thalassoma hardwicke ,Benthic carnivore,Benthic carnivore,Non-target
,Thalassoma jansenii,Benthic carnivore,Benthic carnivore,Non-target
,Thalassoma lunare,Benthic carnivore,Benthic carnivore,Non-target
,Thalassoma lutescens,Benthic carnivore,Benthic carnivore,Non-target
,,,,
Lethrinidae,Gnathodentex aureolineatus,Predator,Intermediate predator,Non-target
,Gymnocranius spp.,Predator,Intermediate predator,Secondary target
,Lethrinus atkinsoni,Predator,Intermediate predator,Secondary target
,Lethrinus erythracanthus,Predator,Intermediate predator,Secondary target
,Lethrinus harak,Benthic carnivore,Benthic carnivore,Secondary target
,Lethrinus laticaudis,Predator,Intermediate predator,Secondary target
,Lethrinus lentjan,Predator,Intermediate predator,Secondary target
,Lethrinus miniatus,Predator,Intermediate predator,Secondary target
,Lethrinus nebulosus,Predator,Intermediate predator,Secondary target
,Lethrinus obsoletus,Predator,Intermediate predator,Secondary target
,Lethrinus olivaceus,Predator,Large predator,Secondary target
,Lethrinus ornatus,Predator,Intermediate predator,Secondary target
,Lethrinus rubrioperculatus,Predator,Intermediate predator,Secondary target
,Lethrinus xanthochilus,Predator,Intermediate predator,Secondary target
,Monotaxis grandoculis,Predator,Intermediate predator,Secondary target
,,,,
Lutjanidae,Lutjanus adetii,Predator,Intermediate predator,Secondary target
,Lutjanus argentimaculatus,Predator,Large predator,Primary target
,Lutjanus biguttatus,Predator,Intermediate predator,Secondary target
,Lutjanus bohar,Predator,Large predator,Protected
,Lutjanus carponotatus,Predator,Intermediate predator,Primary target
,Lutjanus fulviflamma,Predator,Intermediate predator,Secondary target
,Lutjanus fulvus,Predator,Intermediate predator,Secondary target
,Lutjanus gibbus,Predator,Intermediate predator,Protected
,Lutjanus kasmira,Predator,Intermediate predator,Secondary target
,Lutjanus lemniscatus,Predator,Intermediate predator,Secondary target
,Lutjanus lutjanus,Predator,Intermediate predator,Secondary target
,Lutjanus monostigma,Predator,Large predator,Secondary target
,Lutjanus quinquelineatus,Predator,Intermediate predator,Secondary target
,Lutjanus rivulatus,Predator,Intermediate predator,Secondary target
,Lutjanus russelli,Predator,Intermediate predator,Secondary target
,Lutjanus sebae,Predator,Intermediate predator,Secondary target
,Lutjanus semicinctus,Predator,Intermediate predator,Secondary target
,Lutjanus vitta,Predator,Intermediate predator,Secondary target
,Symphorus nematophorus,Predator,Large predator,Protected
,,,,
Mullidae,Parupeneus barberinus,Benthic carnivore,Benthic carnivore,Non-target
,Parupeneus bifasciatus,Benthic carnivore,Benthic carnivore,Non-target
,Parupeneus ciliatus,Benthic carnivore,Benthic carnivore,Non-target
,Parupeneus indicus,Benthic carnivore,Benthic carnivore,Non-target
,,,,
Muraenidae,Echidna nebulosa,Predator,Intermediate predator,Non-target
,Gymnothorax favagineus,Predator,Intermediate predator,Non-target
,Gymnothorax javanicus,Predator,Intermediate predator,Non-target
,Gymnothorax meleagris ,Predator,Intermediate predator,Non-target
,Gymnothorax undulatus ,Predator,Intermediate predator,Non-target
,Gymnothorax javanicus,Predator,Intermediate predator,Non-target
,Gymnothorax meleagris,Predator,Intermediate predator,Non-target
,,,,
Nemipteridae,Scolopsis bilineatus,Predator,Intermediate predator,Non-target
,Scolopsis margaritifer,Predator,Intermediate predator,Non-target
,Scolopsis monogramma,Predator,Intermediate predator,Non-target
,,,,
Pomacanthidae,Centropyge bicolor,Benthic carnivore,Benthic carnivore,Non-target
,Centropyge bispinosus,Benthic carnivore,Benthic carnivore,Non-target
,Centropyge nox,Benthic carnivore,Benthic carnivore,Non-target
,Centropyge tibicen,Benthic carnivore,Benthic carnivore,Non-target
,Centropyge vrolikii,Benthic carnivore,Benthic carnivore,Non-target
,Chaetodontoplus douboulayi,Benthic carnivore,Benthic carnivore,Non-target
,Chaetodontoplus meredithi,Benthic carnivore,Benthic carnivore,Non-target
,Pomacanthus imperator,Benthic carnivore,Benthic carnivore,Non-target
,Pomacanthus semicirculatus,Benthic carnivore,Benthic carnivore,Non-target
,Pomacanthus sexstriatus,Benthic carnivore,Benthic carnivore,Non-target
,Pomacanthus xanthometapon,Benthic carnivore,Benthic carnivore,Non-target
,Pygoplites diacanthus,Benthic carnivore,Benthic carnivore,Non-target
,,,,
Pomacentridae,Abudefduf bengalensis,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Abudefduf sexfasciatus,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Abudefduf vaigiensis,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Abudefduf whitleyi,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Abudefduf sexfasciatus,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Abudefduf vaigiensis,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Abudefduf whitleyi,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Acanthochromis polyacanthus,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Amblyglyphidodon aureus,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Amblyglyphidodon curacao,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Amblyglyphidodon leucogaster,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Amphiprion akindynos,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Amphiprion chrysopterus,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Amphiprion clarkii,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Amphiprion melanopus,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Amphiprion percula,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Amphiprion perideraion,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Cheiloprion labiatus,Corallivore,Facultative corallivore,Non-target
,Chromis acares,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis agilis,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis amboinensis,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis atripectoralis,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis atripes,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis chrysura,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis iomelas,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis lepidolepis,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis lineata,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis margaritifer,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis nitida,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis retrofasciatus,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis ternatensis,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis vanderbilti,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis viridis,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis weberi,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chromis xanthura,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chrysiptera biocellata,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Chrysiptera flavipinnis,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chrysiptera rex,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Chrysiptera rollandi,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Chrysiptera talboti,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Dascyllus aruanus,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Dascyllus melanurus,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Dascyllus trimaculatus,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Dascyllus reticulatus,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Dischistodus melanotus,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Dischistodus perspicillatus,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Dischistodus prosopotaenia,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Dischistodus pseudochrysopoecilus,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Hemiglyphidodon plagiometapon,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Neoglyphidodon melas,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Neoglyphidodon nigroris,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Neoglyphidodon polyacanthus,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Neopomacentrus asyzron,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Neopomacantrus bankieri,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Neopomacentrus cyanomos,Planktivorous pomacentrid,Planktivorous pomacentrid,Non-target
,Plectroglyphidodon dickii,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Plectroglyphidodon johnstonianus,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Plectroglyphidodon lacrymatus,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Pomacentrus adelus,Territorial pomacentrid,Territorial pomacentrid,Non-target
,Pomacentrus amboinensis,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Pomacentrus australis,Omnivorous pomacentrid,Omnivorous pomacentrid,Non-target
,Pomacentrus bankanensis,Territorial pomacentrid,Territorial pomacentrid,Non-target
